注文日,商品名,請求金額,合計金額,個数,送料合計,ポイント利用額,クーポン利用総額,季節ラベル,ブランド名
2024-06-04,美品【中古】ローラアシュレイ LAURA ASHLEY 素敵なカッシュクールワンピース 表記11号(L相当) 緑/グリーン ジャージ素材 ドット柄 春夏向け レディース,10250,11250,1,0,0.0,1000,春夏,ローラアシュレイ
2024-06-04,新品同様【中古】リフレクト Reflect チュニック カットソー チュニックカットソー 表記 9号 M 38号 相当 黒 ブラック 花 フラワー ペイズリー 薄手 半袖 シフォン 透け感 涼感 フリル袖 ゆったり ふんわり 大人 30代 40代 日本製 春夏 春 夏 トップス レディース,2030,2030,1,0,0.0,0,春夏,リフレクト
2024-06-04,美品【中古】ジバンシイ GIVENCHY 東京ソワール フォーマルスカート フレアスカート ロングスカート 大きいサイズ 表記 14号 LL 2L 13号 XL 相当 古着 黒 ブラック レディース 春夏 春 夏 ボトムス ロング 単品 大人 女性 40代 50代 フォーマル スリット,11850,12850,1,0,0.0,1000,春夏,ジバンシイ
2024-06-05,美品【中古】オットーコレクション OTTO collection レザージャケット 豚革 本革 大きいサイズ 13号 LL 2L XL 42号 相当 古着 赤 レッド レディース 秋 冬 秋冬 アウター シンプル 大人 女性 30代 40代 50代 おしゃれ,11400,12400,1,0,0.0,1000,秋冬,オットーコレクション
2024-06-05,新品同様【中古】レオナール LEONARD カットソー チュニック レディース イタリア製 表記 40号 11号 L 相当 黒 ブラック カラフル 花柄 ジャージ素材 伸縮性 軽やか 長袖 ロング丈 おしゃれ かわいい 上品 大人 女性 Vネック お出掛け 春 秋 春秋 トップス 40代 50代 60代,22099,24099,1,0,0.0,2000,春秋,レオナール
2024-06-05,新品【中古】ザラベーシック ZARA BASIC ワンピース 表記 XS 小さいサイズ 5号 7号 S 相当 深緑 グリーン 総レース 長袖 ペチコート 透け感 ミニ丈 大人 20代 お呼ばれ お洒落 おしゃれ パーティ 結婚式 二次会 綺麗め きれいめ 大人可愛い 春 夏 レディース 新品タグ付き,4000,4000,1,0,0.0,0,春夏,ザラベーシック
2024-06-05,美品【中古】ハナエモリ HANAE MORI テーラードジャケット ジャケット 表記 L 11号 相当 紺 ネイビー 濃紺 長袖 毛100 ウール 薄手 ゆったり シンプル 無地 通勤 オフィス 大人 40代 50代 60代 日本製 春 夏 秋 アウター レディース クリーニング後お渡し,10000,11000,1,0,0.0,1000,春夏,ハナエモリ
2024-06-05,美品【中古】イエーガー JAEGER ダウンジャケット ダウン ダウン90％ レディース 表記 10号 11号 L 40号 相当 黒 ブラック シンプル 無地 へちま襟 艶感 着回し ふっくら 暖か 軽やか お洒落 おしゃれ 上品 大人 女性 お出掛け 秋 冬 秋冬 アウター 40代 50代 60代,13400,14400,1,0,0.0,1000,秋冬,イエーガー
2024-06-05,美品【中古】クリスチャン オジャール c.aujard CHRISTIAN AUJARD スカートスーツ スーツ 表記上 42号 2L LL 13号 表記下 38号 M 9号 古着 ベージュ レディース 2点セット ツイード ウール フリンジ 秋 冬 秋冬 セットアップ 大人 女性 40代 50代 おしゃれ 上品 セレモニー,14250,15250,1,0,0.0,1000,秋冬,クリスチャン
2024-06-05,美品【中古】マックスコー MAX&CO マックスマーラ イタリア製 優美キャミソールワンピース 表記JI42号(9号/М相当) 紫/パープル系 シフォン素材 パーティー お呼ばれ 変形裾 春夏向け レディース,14250,15250,1,0,0.0,1000,春夏,マックスコー
2024-06-05,新品同様【中古】東京ソワール LILY BURN ブラックフォーマル ワンピーススーツ 大きいサイズ 大きい 表記 13号 2L LL 42号 相当 古着 黒 ブラック レディース 春 夏 春夏 冠婚葬祭 喪服 礼服 大人 女性 20代 30代 40代 長袖 7分袖 七分袖 ノーカラーワンピース 膝丈 ひざ丈,14000,15000,1,0,0.0,1000,春夏,東京ソワール
2024-06-06,美品【中古】ナラカミーチェ NAEACAMICHE 茶×艶 立体衿 薄手ブラウスジャケット 3号/11号/40号 春夏秋 レディース アウター トップス,9750,10750,1,0,0.0,1000,春夏,ナラカミーチェ
2024-06-06,美品【中古】へっぽこ先生 ノーカラージャケット ノーカラー ハーフ丈 11号 L 40号 相当 紫 パープル レース 刺繍 毛100％ ウール素材 ふっくら 暖かい 伸縮 上品 大人 お食事会 パーティ 50代 60代 秋 冬 秋冬 アウター レディース クリーニング後お渡し,9750,10750,1,0,0.0,1000,秋冬,へっぽこ先生
2024-06-06,美品【中古】ビースリー B-Three B3 ストレッチパンツ ロングパンツ 小さいサイズ 小さい 表記 28号 5号 XS SS 相当 古着 黒系 レディース 春 夏 春夏 秋 ボトムス ギンガムチェック 魔法のパンツ ロング ストレッチ 伸縮 大人 女性 20代 30代 40代 おしゃれ,3350,3350,1,0,0.0,0,春夏,ビースリー
2024-06-06,新品同様【中古】タルボット TALBOTS ワンピース 大きいサイズ 表記 XL 13号 42号 LL 2L 相当 古着 茶 ブラウン レディース 春 夏 春夏 長袖 ジャージ素材 ストレッチ カシュクール ミモレ丈 総柄 おしゃれ 大人 女性 40代 50代,7650,7650,1,0,0.0,0,春夏,タルボット
2024-06-06,美品【中古】スペッチオ SPECCHIO チュニック プリーツ加工 表記 40号 11号 L 相当 グレー 黒 ブラック グラデーション 軽い ストレッチ 伸縮 1分袖 半袖 薄手 透け感 おしゃれ お洒落 大人 30代 40代 50代 春 夏 春夏 トップス レディース,5100,6100,1,0,0.0,1000,春夏,スペッチオ
2024-06-07,新品同様【中古】レオナール LEONARD アワーグラスワンピース ジャージワンピース ワンピース レディース イタリア製 小さい 表記 36号 7号 S 相当 ピンク 花柄 お花 伸縮性 ジャージ素材 膝丈 ひざ丈 軽やか 涼しげ おしゃれ かわいい 大人 女性 春 夏 春夏 40代 50代 60代,0,32500,1,0,30500.0,2000,春夏,レオナール
2024-06-07,美品【中古】詩仙堂 ヒトシタムラ by HITOSHI プルオーバーブラウス スカート 2点セット セットアップ 古着 ちりめん 縮緬  9号 M 相当 薄紫 パープル 藤色 和柄 半袖 5分袖 薄手 ゴム ミモレ丈 フレア 長袖 おしゃれ 日本製 大人 60代 70代 ミセス 春 夏 春夏 レディース,7650,7650,1,0,0.0,0,春夏,詩仙堂
2024-06-08,美品【中古】レリアン Leilian 素敵シフォンブラウス 表記11号(40号/L相当) 黒/ブラック 袖透け感 半袖 千鳥格子柄風 春夏向け トップス レディース,8000,8000,1,0,0.0,0,春夏,レリアン
2024-06-08,美品【中古】イヴサンローラン YVESSAINTLAURENT タイトスカート スカート イタリア製 表記 38号 9号 M 相当 黒 ブラック 艶感 綿100 コットン シンプル 無地 膝丈 ひざ丈 通勤 大人 20代 30代 40代 春 夏 秋 冬 オールシーズン ボトムス レディース クリーニング後お渡し,6795,9249,1,0,1454.0,1000,通年,イヴサンローラン
2024-06-09,新品【中古】メルローズ MELROSE ノースリーブカットソー カットソー 7号 S 9号 M 相当 ベージュ フリル ピンタック 透け感 薄手 お洒落 おしゃれ ノースリーブ きれいめ 綺麗め シフォン aライン 大人可愛い 大人 20代 30代 春 夏 トップス レディース 未使用品,2170,2170,1,0,0.0,0,春夏,メルローズ
2024-06-10,新品同様【中古】アナイ ANAYI スカーチョ ガウチョ ガウチョパンツ 小さいサイズ 表記 36号 S 7号 相当 濃紺 紺 ネイビー 膝丈 ひざ丈 ミモレ丈 シンプル 無地 薄手 ワイド ゆったり きれいめ 通勤 オフィス ビジネス 日本製 20代 30代 40代 春 夏 ボトムス レディース,3000,3600,1,0,600.0,0,春夏,アナイ
2024-06-10,美品【中古】ジュンアシダ jun ashida 美彩モダン柄 大人ノーカラージャケット 9号 秋冬 レディース アウター,14700,15700,1,0,0.0,1000,秋冬,ジュンアシダ
2024-06-10,新品同様【中古】セオリー Theory 半袖ニット サマーニット 小さいサイズ 表記 S 7号 相当 ベージュ 綿100％ コットン リブ編み 伸縮性 半袖 丸首カラー 無地 シンプル 上品 大人 お洒落 おしゃれ お出掛け 20代 30代 40代 春 夏 春夏 トップス レディース,6350,6350,1,0,0.0,0,春夏,セオリー
2024-06-10,美品【中古】東京ソワール Applo berry フォーマル ブラウス プルオーバーブラウス 大きいサイズ 表記 13号 LL 42号 2L XL 相当 古着 白 ホワイト レディース 春 夏 春夏 トップス 7分袖 七分袖 ラメ おしゃれ 上品 単品 大人 女性 30代 40代 50代 オフィス ノーカラー,9000,10000,1,0,0.0,1000,春夏,東京ソワール
2024-06-12,美品【中古】エムズグレイシー M'S GRACY フレアスカート 膝丈スカート スカート レディース 表記 38号 9号 M 相当 白 ホワイト 美花柄 お花 フレア 膝丈 ひざ丈 お洒落 おしゃれ 可愛い かわいい 大人 女性 お出掛け 春夏 春 夏 ボトムス 20代 30代 40代,20000,20000,1,0,0.0,0,春夏,エムズグレイシー
2024-06-16,新品同様【中古】23区 トレンチコート スプリングコート 表記 40号 11号 L 相当 古着 茶系 ブラウン レディース 春 秋 冬 秋冬 アウター 綿系 コットン 羽織り 通勤 シンプル お出掛け 大人 女性 20代 30代 40代 オンワード樫山,20357,21000,1,0,643.0,0,秋冬,23区
2024-06-16,新品同様【中古】ジュンアシダ jun ashida コットンワンピース ひざ丈ワンピース ワンピース レディース 表記 9号 38号 M 相当 緑 グリーン ブロック柄 モダン 半袖 ひざ丈 涼しげ 軽やか お洒落 おしゃれ 大人 女性 お出掛け 春夏 春 夏 40代 50代 60代,29000,29000,1,0,0.0,0,春夏,ジュンアシダ
