OrderId,OrderTime,OrderDay,OrderTime(H:M),ShipPrefecture,ShipCity,Title,Brand,Condition,Category,Color,Season,TotalPrice（商品合計金額）,Total（請求金額）,Total（請求金額＊ポイント含まない）,UnitPrice（単価）,UsePoint（利用ポイント金額）,TotalMallCouponDiscount（クーポン値引金額）,ShipCharge（送料）,
10000181,7/6/22 22:40,2022/07/06,22:40,東京都,江東区,美品/イエガー JAEGER 透け感ロングカーディガン 大きいサイズ(9～13号相当) 黒/輝ラメ チェック柄 春夏秋向け アウター レディース,イエガー,美品,アウター,黒,春夏,12800,12700,12700,12800,0,-100,0,
10000180,7/5/22 0:37,2022/07/05,00:37,東京都,世田谷区南烏山,美品/キヨコタカセ KIYOKO TAKASE K.T カットワークレースセットアップ 小さいサイズ 7号(S相当) グレー 圧縮ウール素材 秋冬向 レディース,キヨコタカセ,美品,スーツ,グレー,秋冬,14300,13585,13585,14300,0,-715,0,
10000179,7/3/22 22:47,2022/07/03,22:47,広島県,安芸郡坂町横浜中央,H美品/ラルフローレン RALPH LAUREN 美形グレンチェックパンツ 表記9号(Mサイズ相当) グレー/茶 秋冬向け ウール100% ボトムス レディース,ラルフローレン,美品,ボトムス,グレー,秋冬,6551,6351,6351,5951,0,-200,600,
10000178,6/30/22 19:41,2022/06/30,19:41,東京都,町田市小山ヶ丘,美品/クリスチャンディオール Christian Dior SPORTS ラップスカート 表記M(9号相当) オレンジレッド 綿&amp;麻 春夏 ボトムス レディース,クリスチャンディオール,美品,ボトムス,レッド,春夏,11000,11000,11000,11000,0,0,0,
10000177,6/30/22 19:02,2022/06/30,19:02,長野県,北安曇郡白馬村,新品同様/ザラベーシック ZARA BASIC ワンピース 表記L 11号 大きいサイズ 13号相当 クリーム色 春 夏 7分袖 花柄 薄手 膝丈 レディース,ザラベーシック,新品同様,ワンピース,クリーム,夏,7090,7090,7090,6490,0,0,600,
10000176,6/30/22 15:47,2022/06/30,15:47,東京都,大田区,S美【ナルシソロドリゲス】伊製♪柔らか美形ジャケット♪小さめ7,ナルシソロドリゲス,,アウター,,,6200,6200,6200,5600,0,0,600,
10000175,6/29/22 14:50,2022/06/29,14:50,福岡県,北九州市八幡東区,美品*EVEXクリッツィア*ふんわりシフォン*美揺スカート*大きい42,エヴェックス バイ クリツィア,美品,ボトムス,,,7390,7290,7290,6790,0,-100,600,
10000174,6/29/22 11:15,2022/06/29,11:15,北海道,岩見沢市,Ａ新品同様/スペッチオ SPECCHIO 大人プリーツカットソー 表記40号(11号/L相当) 黒/ブラック お出掛け 春夏向け トップス レディース,スペッチオ,新品同様,トップス,ブラック,春夏,5600,5600,5600,5000,0,0,600,
10000173,6/27/22 17:21,2022/06/27,17:21,東京都,小平市,Ａ美品/ドゥクラッセ DoCLASSE 涼しげなワンピース 大きいサイズ 表記13号(LL相当) 紫/パープル 麻リネン100％ お出掛け 春夏 レディース,ドゥクラッセ,美品,ワンピース,パープル,春夏,7400,7200,7200,6800,0,-200,600,
10000172,6/25/22 20:02,2022/06/25,20:02,東京都,目黒区,A新品同様/伊太利屋 七分袖カットソー 9号(38号/M相当) 茶×グレー 伸縮性素材 ヒョウ柄 アニマル柄 耀きビジュー 春夏向け レディース,伊太利屋,新品同様,トップス,グレー,春夏,10401,10401,10401,9801,0,0,600,
