date,古着
2022-11-21,61
2022-11-22,61
2022-11-23,66
2022-11-24,53
2022-11-25,57
2022-11-26,70
2022-11-27,69
2022-11-28,48
2022-11-29,49
2022-11-30,53
2022-12-01,53
2022-12-02,50
2022-12-03,74
2022-12-04,76
2022-12-05,48
2022-12-06,49
2022-12-07,56
2022-12-08,55
2022-12-09,64
2022-12-10,77
2022-12-11,80
2022-12-12,61
2022-12-13,58
2022-12-14,57
2022-12-15,59
2022-12-16,59
2022-12-17,76
2022-12-18,80
2022-12-19,58
2022-12-20,58
2022-12-21,59
2022-12-22,54
2022-12-23,50
2022-12-24,71
2022-12-25,78
2022-12-26,63
2022-12-27,67
2022-12-28,72
2022-12-29,84
2022-12-30,82
2022-12-31,62
2023-01-01,74
2023-01-02,100
2023-01-03,92
2023-01-04,75
2023-01-05,66
2023-01-06,64
2023-01-07,75
2023-01-08,77
2023-01-09,71
2023-01-10,58
2023-01-11,62
2023-01-12,57
2023-01-13,60
2023-01-14,75
2023-01-15,76
2023-01-16,58
2023-01-17,57
2023-01-18,57
2023-01-19,59
2023-01-20,58
2023-01-21,75
2023-01-22,79
2023-01-23,55
2023-01-24,52
2023-01-25,55
2023-01-26,58
2023-01-27,59
2023-01-28,75
2023-01-29,74
2023-01-30,60
2023-01-31,54
2023-02-01,61
2023-02-02,60
2023-02-03,58
2023-02-04,75
2023-02-05,84
2023-02-06,61
2023-02-07,60
2023-02-08,59
2023-02-09,60
2023-02-10,60
2023-02-11,77
2023-02-12,78
2023-02-13,60
2023-02-14,62
2023-02-15,59
2023-02-16,64
2023-02-17,61
2023-02-18,74
2023-02-19,76
2023-02-20,61
2023-02-21,60
2023-02-22,63
2023-02-23,76
2023-02-24,68
2023-02-25,85
2023-02-26,82
2023-02-27,59
2023-02-28,55
2023-03-01,59
2023-03-02,58
2023-03-03,62
2023-03-04,74
2023-03-05,81
2023-03-06,61
2023-03-07,62
2023-03-08,62
2023-03-09,61
2023-03-10,59
2023-03-11,81
2023-03-12,79
2023-03-13,67
2023-03-14,65
2023-03-15,59
2023-03-16,60
2023-03-17,60
2023-03-18,78
2023-03-19,87
2023-03-20,71
2023-03-21,69
2023-03-22,58
2023-03-23,61
2023-03-24,61
2023-03-25,77
2023-03-26,81
2023-03-27,67
2023-03-28,62
2023-03-29,62
2023-03-30,64
2023-03-31,59
2023-04-01,82
2023-04-02,82
2023-04-03,82
2023-04-04,63
2023-04-05,59
2023-04-06,55
2023-04-07,56
2023-04-08,76
2023-04-09,77
2023-04-10,60
2023-04-11,57
2023-04-12,61
2023-04-13,54
2023-04-14,56
2023-04-15,68
2023-04-16,83
2023-04-17,58
2023-04-18,53
2023-04-19,57
2023-04-20,61
2023-04-21,63
2023-04-22,81
2023-04-23,84
2023-04-24,49
2023-04-25,55
2023-04-26,54
2023-04-27,57
2023-04-28,59
2023-04-29,80
2023-04-30,80
2023-05-01,69
2023-05-02,74
2023-05-03,92
2023-05-04,98
2023-05-05,86
2023-05-06,81
2023-05-07,67
2023-05-08,49
2023-05-09,48
2023-05-10,55
2023-05-11,45
2023-05-12,51
2023-05-13,62
2023-05-14,63
2023-05-15,52
2023-05-16,58
2023-05-17,55
2023-05-18,47
2023-05-19,48
2023-05-20,69
2023-05-21,66
2023-05-22,47
2023-05-23,51
2023-05-24,52
2023-05-25,47
2023-05-26,53
2023-05-27,73
2023-05-28,71
2023-05-29,45
2023-05-30,47
2023-05-31,52
2023-06-01,44
2023-06-02,44
2023-06-03,68
2023-06-04,70
2023-06-05,45
2023-06-06,45
2023-06-07,46
2023-06-08,42
2023-06-09,50
2023-06-10,68
2023-06-11,67
2023-06-12,50
2023-06-13,45
2023-06-14,47
2023-06-15,45
2023-06-16,51
2023-06-17,66
2023-06-18,69
2023-06-19,51
2023-06-20,52
2023-06-21,47
2023-06-22,45
2023-06-23,54
2023-06-24,66
2023-06-25,68
2023-06-26,51
2023-06-27,45
2023-06-28,50
2023-06-29,44
2023-06-30,41
2023-07-01,61
2023-07-02,73
2023-07-03,45
2023-07-04,50
2023-07-05,50
2023-07-06,45
2023-07-07,49
2023-07-08,66
2023-07-09,65
2023-07-10,41
2023-07-11,44
2023-07-12,38
2023-07-13,42
2023-07-14,43
2023-07-15,66
2023-07-16,63
2023-07-17,51
2023-07-18,41
2023-07-19,43
2023-07-20,42
2023-07-21,45
2023-07-22,55
2023-07-23,60
2023-07-24,44
2023-07-25,43
2023-07-26,44
2023-07-27,43
2023-07-28,44
2023-07-29,56
2023-07-30,56
2023-07-31,45
2023-08-01,47
2023-08-02,49
2023-08-03,46
2023-08-04,47
2023-08-05,55
2023-08-06,64
2023-08-07,49
2023-08-08,44
2023-08-09,47
2023-08-10,50
2023-08-11,66
2023-08-12,65
2023-08-13,65
2023-08-14,56
2023-08-15,59
2023-08-16,60
2023-08-17,50
