date,古着
2023-08-11,69
2023-08-12,68
2023-08-13,68
2023-08-14,58
2023-08-15,62
2023-08-16,64
2023-08-17,52
2023-08-18,54
2023-08-19,63
2023-08-20,63
2023-08-21,52
2023-08-22,50
2023-08-23,50
2023-08-24,48
2023-08-25,51
2023-08-26,66
2023-08-27,67
2023-08-28,47
2023-08-29,50
2023-08-30,52
2023-08-31,46
2023-09-01,54
2023-09-02,63
2023-09-03,68
2023-09-04,52
2023-09-05,52
2023-09-06,49
2023-09-07,50
2023-09-08,49
2023-09-09,69
2023-09-10,72
2023-09-11,52
2023-09-12,51
2023-09-13,51
2023-09-14,53
2023-09-15,52
2023-09-16,73
2023-09-17,78
2023-09-18,75
2023-09-19,56
2023-09-20,52
2023-09-21,52
2023-09-22,52
2023-09-23,83
2023-09-24,79
2023-09-25,56
2023-09-26,54
2023-09-27,56
2023-09-28,55
2023-09-29,53
2023-09-30,73
2023-10-01,72
2023-10-02,56
2023-10-03,62
2023-10-04,63
2023-10-05,65
2023-10-06,64
2023-10-07,86
2023-10-08,96
2023-10-09,88
2023-10-10,64
2023-10-11,68
2023-10-12,67
2023-10-13,75
2023-10-14,87
2023-10-15,94
2023-10-16,66
2023-10-17,62
2023-10-18,63
2023-10-19,61
2023-10-20,65
2023-10-21,80
2023-10-22,94
2023-10-23,57
2023-10-24,64
2023-10-25,55
2023-10-26,53
2023-10-27,63
2023-10-28,86
2023-10-29,87
2023-10-30,64
2023-10-31,55
2023-11-01,64
2023-11-02,63
2023-11-03,90
2023-11-04,83
2023-11-05,83
2023-11-06,61
2023-11-07,55
2023-11-08,56
2023-11-09,66
2023-11-10,64
2023-11-11,79
2023-11-12,80
2023-11-13,69
2023-11-14,58
2023-11-15,59
2023-11-16,55
2023-11-17,62
2023-11-18,89
2023-11-19,90
2023-11-20,65
2023-11-21,62
2023-11-22,62
2023-11-23,78
2023-11-24,67
2023-11-25,79
2023-11-26,83
2023-11-27,57
2023-11-28,62
2023-11-29,57
2023-11-30,57
2023-12-01,55
2023-12-02,77
2023-12-03,79
2023-12-04,55
2023-12-05,55
2023-12-06,56
2023-12-07,56
2023-12-08,54
2023-12-09,86
2023-12-10,82
2023-12-11,60
2023-12-12,55
2023-12-13,60
2023-12-14,48
2023-12-15,57
2023-12-16,82
2023-12-17,85
2023-12-18,54
2023-12-19,52
2023-12-20,52
2023-12-21,52
2023-12-22,52
2023-12-23,74
2023-12-24,69
2023-12-25,59
2023-12-26,56
2023-12-27,60
2023-12-28,65
2023-12-29,77
2023-12-30,78
2023-12-31,57
2024-01-01,64
2024-01-02,81
2024-01-03,81
2024-01-04,73
2024-01-05,69
2024-01-06,77
2024-01-07,78
2024-01-08,59
2024-01-09,50
2024-01-10,52
2024-01-11,51
2024-01-12,54
2024-01-13,77
2024-01-14,74
2024-01-15,55
2024-01-16,48
2024-01-17,51
2024-01-18,49
2024-01-19,50
2024-01-20,69
2024-01-21,69
2024-01-22,58
2024-01-23,50
2024-01-24,50
2024-01-25,50
2024-01-26,53
2024-01-27,82
2024-01-28,76
2024-01-29,56
2024-01-30,53
2024-01-31,50
2024-02-01,52
2024-02-02,55
2024-02-03,76
2024-02-04,80
2024-02-05,51
2024-02-06,51
2024-02-07,55
2024-02-08,59
2024-02-09,57
2024-02-10,79
2024-02-11,89
2024-02-12,69
2024-02-13,55
2024-02-14,53
2024-02-15,57
2024-02-16,55
2024-02-17,77
2024-02-18,76
2024-02-19,53
2024-02-20,57
2024-02-21,51
2024-02-22,56
2024-02-23,75
2024-02-24,81
2024-02-25,75
2024-02-26,57
2024-02-27,56
2024-02-28,54
2024-02-29,51
2024-03-01,53
2024-03-02,70
2024-03-03,77
2024-03-04,55
2024-03-05,53
2024-03-06,58
2024-03-07,59
2024-03-08,55
2024-03-09,80
2024-03-10,84
2024-03-11,57
2024-03-12,52
2024-03-13,56
2024-03-14,53
2024-03-15,50
2024-03-16,77
2024-03-17,77
2024-03-18,58
2024-03-19,61
2024-03-20,72
2024-03-21,55
2024-03-22,57
2024-03-23,69
2024-03-24,77
2024-03-25,53
2024-03-26,59
2024-03-27,59
2024-03-28,60
2024-03-29,60
2024-03-30,77
2024-03-31,80
2024-04-01,57
2024-04-02,61
2024-04-03,48
2024-04-04,54
2024-04-05,61
2024-04-06,75
2024-04-07,84
2024-04-08,57
2024-04-09,48
2024-04-10,53
2024-04-11,62
2024-04-12,64
2024-04-13,86
2024-04-14,91
2024-04-15,62
2024-04-16,60
2024-04-17,58
2024-04-18,49
2024-04-19,60
2024-04-20,86
2024-04-21,90
2024-04-22,55
2024-04-23,56
2024-04-24,56
2024-04-25,56
2024-04-26,57
2024-04-27,85
2024-04-28,99
2024-04-29,93
2024-04-30,62
2024-05-01,61
2024-05-02,77
2024-05-03,93
2024-05-04,99
2024-05-05,100
