2023-01-04,美品/23区 ノーカラージャケット 大きいサイズ 表記46号(15号相当) 濃紺/ネイビー 綿コットン フレア袖 比翼 春夏向け アウター レディース,11000,0.0,0,春夏,Outer,23区 ノーカラージャケット 大きいサイズ,23区 ノーカラージャケット 大きいサイズ,NIJYUSANKU,23区
2023-01-05,美品/23区 清楚レースワンピース 大きいサイズ 表記48号(17号相当) ベージュ系 1分袖 お出掛け お呼ばれ 異素材 春夏向け レディース,16720,0.0,0,春夏,Dress,23区 清楚レースワンピース 大きいサイズ,23区 清楚レースワンピース 大きいサイズ,NIJYUSANKU,23区
2023-01-13,美品【中古】23区 オンワード樫山 台形スカート スカート ツイードスカート 大きいサイズ 大きい 表記 44号 13号 LL 相当 紫系 パープル系 ツイード ひざ丈 膝丈 伸縮 毛 ウール シンプル 通勤 お出掛け 日本製 20代 30代 40代 秋 冬 秋冬 ボトムス レディース,7500,0.0,0,秋冬,Bottoms,23区 オンワード樫山 台形スカート,23区 オンワード樫山 台形スカート,NIJYUSANKU,23区
2023-02-12,Ａ新品/ 23区 素敵なジャケット 大きいサイズ 表記50号(6Lサイズ/21号相当) 紺/ネイビー ピンストライプ柄 オフィス 春秋 アウター,10399,-980.0,600,春秋,Outer,23区 素敵なジャケット 大きいサイズ,23区 素敵なジャケット 大きいサイズ,NIJYUSANKU,23区
2023-03-04,新品同様【中古】23区 オンワード樫山 ワンピース 半袖ワンピース 大きいサイズ 表記 44号 13号 XL LL 相当 紺 ネイビー シフォン フリル袖 ノーカラー 襟なし 薄手 半袖 ミモレ丈 膝丈 ひざ丈 日本製 お洒落 おしゃれ ふんわり 軽やか 大人 30代 40代 春 夏 レディース,3850,0.0,0,春夏,Dress,23区 オンワード樫山 ワンピース,23区 オンワード樫山 ワンピース,NIJYUSANKU,23区
2023-09-05,新品同様【中古】23区 テーラードジャケット ジャケット 小さいサイズ 小さい 表記 34号 7号 S 相当 黒 ブラック シンプル ストレッチ テーラード 単品 長袖 通勤 お出掛け ストレッチ 大人 日本製 20代 30代 40代 春 秋 アウター レディース クリーリング後お渡し,5400,1500.0,0,春秋,Outer,23区 テーラードジャケット ジャケット,23区 テーラードジャケット ジャケット,NIJYUSANKU,23区
2023-11-11,新品同様/23区 ガウチョパンツ 表記 38号 9号 M 相当 グレー 毛 ウール 薄手 シンプル 無地 ゆったり オフィス 春秋 ボトムス レディース,8030,300.0,600,春秋,Bottoms,23区 ガウチョパンツ 表記,23区 ガウチョパンツ 表記,NIJYUSANKU,23区
2023-12-04,新品同様【中古】23区 美揺ミニスカート 小さいサイズ 32号(5号/XSサイズ相当) 紺 伸縮 柔らかウール混 秋冬向け レディース ボトムス,7150,0.0,0,秋冬,Bottoms,23区 美揺ミニスカート 小さいサイズ,23区 美揺ミニスカート 小さいサイズ,NIJYUSANKU,23区
2023-12-13,美品/23区 フレアスカート 大きい 表記 44号 15号 3L 相当 グレー ツイード素材 幾何学柄 膝丈 お出掛け 秋冬 ボトムス レディース,13200,200.0,0,秋冬,Bottoms,23区 フレアスカート 大きい,23区 フレアスカート 大きい,NIJYUSANKU,23区
2024-01-01,新品【中古】23区 ワンピース ツイードワンピース ジャンパースカート 表記 38号 M 9号 相当 グレー ラメ レディース 新品未使用 ツイード 深vネック vネック ノースリーブ シンプル おしゃれ ひざ丈 膝丈 秋 冬 秋冬 暖かい 大人 20代 30代 ストレッチ タイト コットン,8400,0.0,0,秋冬,Bottoms,23区 ワンピース ツイードワンピース,23区 ワンピース ツイードワンピース,NIJYUSANKU,23区
2024-01-03,美品【中古】23区 ダウンコート ダウン レディース 表記 38号 9号 M 相当 古着 ピンク ベージュ ラクーンファー 艶感 シンプル 無地 ロング丈 ふっくら 暖か 軽やか 可愛い かわいい お出掛け 秋 冬 秋冬 アウター 20代 30代 40代,10000,1000.0,0,秋冬,Outer,23区 ダウンコート ダウン,23区 ダウンコート ダウン,NIJYUSANKU,23区
2024-01-15,美品/23区 テーラードジャケット ツイード 表記 40号 11号 L 相当 茶 ブラウン レディース 秋 冬 アウター 羊毛混 ウール シンプル 通勤,16280,300.0,0,秋冬,Outer,23区 テーラードジャケット ツイード,23区 テーラードジャケット ツイード,NIJYUSANKU,23区
2024-06-16,新品同様【中古】23区 トレンチコート スプリングコート 表記 40号 11号 L 相当 古着 茶系 ブラウン レディース 春 秋 冬 秋冬 アウター 綿系 コットン 羽織り 通勤 シンプル お出掛け 大人 女性 20代 30代 40代 オンワード樫山,21000,0.0,0,秋冬,Outer,23区 トレンチコート スプリングコート,23区 トレンチコート スプリングコート,NIJYUSANKU,23区
2024-10-07,新品同様【中古】23区 オンワード樫山 フレアスカート 大きいサイズ 大きい 表記 44号 XL 相当 古着 黒 ブラック レディース 春 夏 春夏 トップス 毛 ウール 絹 シルク シンプル ミモレ丈 膝丈 ひざ丈 日本製 大人 女性 20代 30代,13900,1000.0,0,春夏,Tops,23区 オンワード樫山 フレアスカート,23区 オンワード樫山 フレアスカート,NIJYUSANKU,23区
2024-10-26,美品/23区 ニット アンサンブル 表記 38号 9号 M 相当 黒 ブラック レディース 春 夏 秋 冬 長袖 半袖 毛混 ウール ラメ カーディガン 丸首,7920,0.0,600,通年,Tops,23区 ニット アンサンブル,23区 ニット アンサンブル,NIJYUSANKU,23区
2024-10-28,美品【中古】23区 ダウンコート ダウン ダウン90％ レディース 表記 38号 9号 M 相当 茶 ブラウン 艶感 スタンドカラー ロング丈 フード 無地 ラクーンファー ファー ふっくら 暖か 軽やか お洒落 おしゃれ 上品 大人 女性 お出掛け 秋 冬 秋冬 アウター 20代 30代 40代,25500,0.0,0,秋冬,Outer,23区 ダウンコート ダウン,23区 ダウンコート ダウン,NIJYUSANKU,23区
2024-11-07,H新品同様/23区 異素材ドット柄タイトスカート 表記40号(11号Lサイズ相当) 黒/ブラック 秋冬向け フロッキー加工 ラメ ボトムス レディース,5951,0.0,600,秋冬,Bottoms,23区 異素材ドット柄タイトスカート 表記40号(11号Lサイズ相当),23区 異素材ドット柄タイトスカート 表記40号(11号Lサイズ相当),NIJYUSANKU,23区
2024-12-02,美品/23区 フレアスカート スカート 小さいサイズ 表記34号 7号 S相当 茶 ブラウン 毛100 ウール ふっくら 膝丈 秋 冬 ボトムス レディース,6270,0.0,600,秋冬,Bottoms,23区 フレアスカート スカート,23区 フレアスカート スカート,NIJYUSANKU,23区
