,OrderTime,Brand,TotalPrice,Brand_Price_Range_Very Low,Brand_Price_Range_Low,Brand_Price_Range_Medium,Brand_Price_Range_High,Brand_Price_Range_Very High,Brand_Price_Range_Extremely High
1822,2021-09-16 00:00:00,ジェラールダレル,25300,0,0,0,0,0,1
1821,2021-09-20 00:00:00,ジュンアシダ,28400,0,0,0,0,1,0
1820,2021-09-23 00:00:00,ハーディエイミス,36800,0,0,0,0,0,1
1819,2021-09-25 00:00:00,プラステ,17000,0,0,1,0,0,0
1818,2021-09-26 00:00:00,レリアン,19000,0,0,0,0,0,1
1817,2021-10-01 00:00:00,ティエリーミュグレー,7420,0,1,0,0,0,0
1816,2021-10-02 00:00:00,ジュンアシダ,38500,0,0,0,0,1,0
1814,2021-10-05 00:00:00,三年坂,18000,0,0,0,1,0,0
1815,2021-10-05 00:00:00,インゲボルグ,19000,0,0,0,1,0,0
1813,2021-10-08 00:00:00,ザラ,7750,0,1,0,0,0,0
1812,2021-10-10 00:00:00,レリアン,27900,0,0,0,0,0,1
1811,2021-10-10 00:00:00,フェンディ,18500,0,0,0,0,0,1
1810,2021-10-15 00:00:00,レステラ,15950,0,0,1,0,0,0
1809,2021-10-16 00:00:00,コルディア,6000,0,1,0,0,0,0
1808,2021-10-18 00:00:00,ハーモニカ,11880,0,0,1,0,0,0
1807,2021-10-21 00:00:00,伊太利屋,17200,0,0,0,1,0,0
1805,2021-10-22 00:00:00,カルバンクライン,28700,0,0,0,1,0,0
1806,2021-10-22 00:00:00,ランズエンド,28700,0,0,0,0,0,1
1804,2021-10-24 00:00:00,ダイアグラムグレースコンチネンタル,34000,0,0,0,0,0,1
1803,2021-10-24 00:00:00,アナイ,15200,0,0,0,0,1,0
1801,2021-10-26 00:00:00,ユマコシノ,25400,0,0,0,0,0,1
1802,2021-10-26 00:00:00,セキネ,13200,0,0,1,0,0,0
1800,2021-10-28 00:00:00,ラルフローレン,19000,0,0,1,0,0,0
1799,2021-10-29 00:00:00,レリアン,16500,0,0,0,0,0,1
1798,2021-10-29 00:00:00,ジュンコシマダ,16200,0,0,0,1,0,0
1797,2021-10-30 00:00:00,オッティモブラッチオ,14800,0,0,1,0,0,0
1796,2021-11-03 00:00:00,トピーズ,24200,0,0,1,0,0,0
1795,2021-11-04 00:00:00,23区,21000,0,0,1,0,0,0
1794,2021-11-04 00:00:00,コムサイズム,9000,0,1,0,0,0,0
1793,2021-11-05 00:00:00,ユナイテッドアローズ,23900,0,0,1,0,0,0
1792,2021-11-06 00:00:00,ドルチェアンドガッバーナ,31000,0,0,0,0,1,0
1791,2021-11-06 00:00:00,ミスクロエ,16800,0,0,1,0,0,0
1790,2021-11-07 00:00:00,自由区,20000,0,0,1,0,0,0
1789,2021-11-08 00:00:00,マンゴ,19300,0,0,0,1,0,0
1788,2021-11-08 00:00:00,アリスバーリー,27200,0,0,0,1,0,0
1787,2021-11-08 00:00:00,組曲,27200,0,0,1,0,0,0
1786,2021-11-08 00:00:00,アーバンリサーチ,21700,0,0,0,0,1,0
1785,2021-11-09 00:00:00,セオリー,32000,0,0,0,0,1,0
1784,2021-11-10 00:00:00,オッズオネスト,19800,0,0,1,0,0,0
1783,2021-11-10 00:00:00,セキネ,12000,0,0,1,0,0,0
1782,2021-11-13 00:00:00,アクアスキュータム,15070,0,0,0,0,1,0
1781,2021-11-13 00:00:00,ダックス,24000,0,0,0,1,0,0
1780,2021-11-14 00:00:00,ハーディエイミス,38500,0,0,0,0,0,1
1779,2021-11-15 00:00:00,東京ソワール,28800,0,0,0,0,1,0
1778,2021-11-17 00:00:00,ピエールカルダン,9290,0,0,0,1,0,0
1775,2021-11-18 00:00:00,レリアン,26900,0,0,0,0,0,1
1777,2021-11-18 00:00:00,レリアン,36500,0,0,0,0,0,1
1776,2021-11-18 00:00:00,ジュンアシダ,26900,0,0,0,0,1,0
1774,2021-11-19 00:00:00,J&R,27900,0,0,0,0,0,1
1773,2021-11-20 00:00:00,ヨウジヤマモトノアール,20500,0,0,0,0,1,0
1772,2021-11-22 00:00:00,エムズグレイシー,14630,0,0,0,0,1,0
1771,2021-11-22 00:00:00,23区,17000,0,0,1,0,0,0
1770,2021-11-27 00:00:00,ニューヨーカー,9180,0,0,1,0,0,0
1769,2021-11-27 00:00:00,ノーブランド,24200,0,1,0,0,0,0
1768,2021-11-30 00:00:00,インタープラネット,16500,0,0,0,1,0,0
1767,2021-12-02 00:00:00,ヨコハマクラブ,21800,0,0,0,0,1,0
1766,2021-12-03 00:00:00,マリクレール,19800,0,0,0,1,0,0
1765,2021-12-03 00:00:00,ポールスチュアート,16280,0,0,0,1,0,0
1749,2021-12-04 00:00:00,ピエールカルダン,24766,0,0,0,1,0,0
1750,2021-12-04 00:00:00,レオナール,36600,0,0,0,0,0,1
1751,2021-12-04 00:00:00,斉藤都世子,53375,0,0,0,0,0,1
1752,2021-12-04 00:00:00,スポーツマックス,29890,0,0,0,0,0,1
1753,2021-12-04 00:00:00,マテリア,30683,0,0,0,0,0,1
1754,2021-12-04 00:00:00,セオリーリュクス,30683,0,0,1,0,0,0
1755,2021-12-04 00:00:00,ホワイトイタリヤード,8080,0,1,0,0,0,0
1758,2021-12-04 00:00:00,斉藤都世子,53375,0,0,0,0,0,1
1757,2021-12-04 00:00:00,グレード,14030,0,0,0,1,0,0
1759,2021-12-04 00:00:00,マックスマーラ,29890,0,0,0,1,0,0
