date,trend_furugi_sweater,trend_furugi_down,trend_furugi_ma1,trend_levis,trend_y2k_fashion
2024-07-14,0,0,0,57,31
2024-07-21,0,0,0,52,26
2024-07-28,0,0,0,47,31
2024-08-04,0,0,0,53,26
2024-08-11,0,0,0,74,23
2024-08-18,0,0,0,69,28
2024-08-25,0,0,0,69,23
2024-09-01,50,16,0,73,20
2024-09-08,0,0,0,67,16
2024-09-15,42,24,0,64,21
2024-09-22,0,27,0,69,22
2024-09-29,0,21,0,67,24
2024-10-06,40,27,0,65,16
2024-10-13,0,20,0,70,19
2024-10-20,0,31,0,71,31
2024-10-27,43,26,0,70,14
2024-11-03,56,40,0,71,18
2024-11-10,50,49,0,69,17
2024-11-17,52,53,0,63,13
2024-11-24,41,64,0,58,19
2024-12-01,65,68,0,71,17
2024-12-08,0,80,0,64,13
2024-12-15,66,69,0,63,14
2024-12-22,58,69,0,58,9
2024-12-29,53,69,0,85,11
2025-01-05,65,62,0,76,12
2025-01-12,0,49,0,73,16
2025-01-19,47,35,0,79,17
2025-01-26,0,31,0,74,15
2025-02-02,0,33,0,61,18
2025-02-09,0,36,0,81,14
2025-02-16,0,29,0,72,20
2025-02-23,43,26,0,64,15
2025-03-02,0,15,0,78,16
2025-03-09,0,18,0,68,18
2025-03-16,0,16,0,79,15
2025-03-23,0,17,0,84,12
2025-03-30,69,6,0,68,15
2025-04-06,10,12,100,66,14
2025-04-13,5,10,0,72,14
